,id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc
583,Supv3l1,4,4.7814e-05,0.0001653,0.005782,613,4,-2.1937,0.99995,0.99995,1,20667,0,-2.1937
584,Pyroxd1,4,4.825e-05,0.0001667,0.005812,614,4,-1.2678,0.99995,0.99995,1,20666,0,-1.2678
585,Slc3a2,4,4.9424e-05,0.0001723,0.005988,616,4,-1.7877,0.99995,0.99995,1,20664,0,-1.7877
586,Dolk,4,4.9454e-05,0.00017276,0.005994,617,4,-1.6671,0.99995,0.99995,1,20663,0,-1.6671
587,Ruvbl1,4,4.9861e-05,0.00017323,0.006,618,4,-2.5224,0.99981,0.99982,1,20301,0,-2.5224
588,B9d2,4,5.056e-05,0.0001765,0.006034,620,4,-1.9739,0.99995,0.99995,1,20662,0,-1.9739
589,Efl1,4,5.0651e-05,0.0001765,0.006034,621,4,-1.2011,0.99995,0.99995,1,20661,0,-1.2011
590,Skp2,4,5.0667e-05,0.0001765,0.006034,622,3,-2.2135,0.98513,0.98513,1,18984,0,-2.2135
591,Letm1,4,5.0711e-05,0.0001765,0.006034,623,4,-1.3556,0.99995,0.99995,1,20660,0,-1.3556
592,Cox6b1,4,5.0802e-05,0.00017696,0.006034,624,4,-2.0183,0.99995,0.99995,1,20659,0,-2.0183
593,Ppan,4,5.0829e-05,0.00017696,0.006034,625,4,-2.6769,0.99973,0.99973,1,20203,0,-2.6769
594,Bbs4,4,5.0832e-05,0.00017696,0.006034,626,4,-1.2893,0.99995,0.99995,1,20658,0,-1.2893
595,Tardbp,4,5.1044e-05,0.00017789,0.006034,627,4,-1.3859,0.99995,0.99995,1,20657,0,-1.3859
